years ,pop_india
1960,450547679
1961,459642165
1962,469077190
1963,478825608
1964,488848135
1965,499123324
1966,509631500
1967,520400576
1968,531513824
1969,543084336
1970,555189792
1971,567868018
1972,581087256
1973,594770134
1974,608802600
1975,623102897
1976,637630087
1977,652408776
1978,667499806
1979,682995354
1980,698952844
1981,715384993
1982,732239504
1983,749428958
1984,766833410
1985,784360008
1986,801975244
1987,819682102
1988,837468930
1989,855334678
1990,873277798
1991,891273209
1992,909307016
1993,927403860
1994,945601831
1995,963922588
1996,982365243
1997,1000900030
1998,1019483581
1999,1038058156
2000,1056575549
2001,1075000085
2002,1093317189
2003,1111523144
2004,1129623456
2005,1147609927
2006,1165486291
2007,1183209472
2008,1200669765
2009,1217726215
2010,1234281170
2011,1250288729
2012,1265782790
2013,1280846129
2014,1295604184
2015,1310152403
2016,1324509589
2017,1338658835
2018,1352617328
2019,1366417754
